Tahun,Jumlah Penduduk Miskin,Kabupaten/Kota
2023,12.59,Halmahera Timur
2024,12.27,Halmahera Timur
2018,8.56,Halmahera Utara
2019,8.79,Halmahera Utara
2020,8.75,Halmahera Utara
2021,10.16,Halmahera Utara
2022,9.01,Halmahera Utara
2023,9.18,Halmahera Utara
2024,9.48,Halmahera Utara
2018,12.22,Hulu Sungai Selatan
2019,12.64,Hulu Sungai Selatan
2020,12.39,Hulu Sungai Selatan
2021,11.47,Hulu Sungai Selatan
2022,10.8,Hulu Sungai Selatan
2023,9.61,Hulu Sungai Selatan
2024,8.14,Hulu Sungai Selatan
2018,16.14,Hulu Sungai Tengah
2019,16.1,Hulu Sungai Tengah
2020,15.47,Hulu Sungai Tengah
2021,16.77,Hulu Sungai Tengah
2022,16.14,Hulu Sungai Tengah
2023,16.01,Hulu Sungai Tengah
2024,16.03,Hulu Sungai Tengah
2018,14.92,Hulu Sungai Utara
2019,15.4,Hulu Sungai Utara
2020,14.72,Hulu Sungai Utara
2021,16.19,Hulu Sungai Utara
2022,15.5,Hulu Sungai Utara
2023,15.02,Hulu Sungai Utara
2024,13.93,Hulu Sungai Utara
2018,16.93,Humbang Hasundutan
2019,16.6,Humbang Hasundutan
2020,17.92,Humbang Hasundutan
2021,18.71,Humbang Hasundutan
2022,17.33,Humbang Hasundutan
2023,17.14,Humbang Hasundutan
2024,16.78,Humbang Hasundutan
2018,51.42,Indragiri Hilir
2019,48.29,Indragiri Hilir
2020,44.29,Indragiri Hilir
2021,44.61,Indragiri Hilir
2022,43.22,Indragiri Hilir
2023,40.86,Indragiri Hilir
2024,41.05,Indragiri Hilir
2018,27.22,Indragiri Hulu
2019,26.66,Indragiri Hulu
2020,26.66,Indragiri Hulu
2021,27.35,Indragiri Hulu
2022,27.46,Indragiri Hulu
2023,27.4,Indragiri Hulu
2024,27.53,Indragiri Hulu
2018,204.18,Indramayu
2019,191.86,Indramayu
2020,220.31,Indramayu
2021,228.59,Indramayu
2022,225.04,Indramayu
2023,214.74,Indramayu
2024,212.14,Indramayu
2018,20.8,Intan Jaya
2019,21.1,Intan Jaya
2020,20.46,Intan Jaya
2021,21.31,Intan Jaya
2022,21.86,Intan Jaya
2023,21.16,Intan Jaya
2024,22.25,Intan Jaya
2018,17.19,Jayapura
2019,17.19,Jayapura
2020,16.61,Jayapura
2021,15.56,Jayapura
2022,15.43,Jayapura
2023,14.91,Jayapura
2024,15.21,Jayapura
2018,82.9,Jayawijaya
2019,83.23,Jayawijaya
2020,81.71,Jayawijaya
2021,78.18,Jayawijaya
2022,75.59,Jayawijaya
2023,73.42,Jayawijaya
2024,68.36,Jayawijaya
2018,243.42,Jember
2019,226.57,Jember
2020,247.99,Jember
2021,257.09,Jember
2022,232.73,Jember
2023,236.46,Jember
2024,224.77,Jember
2018,14.35,Jembrana
2019,13.55,Jembrana
2020,12.6,Jembrana
2021,14.24,Jembrana
2022,15.0,Jembrana
2023,14.12,Jembrana
2024,12.9,Jembrana
2018,55.95,Jeneponto
2019,54.05,Jeneponto
2020,53.24,Jeneponto
2021,52.35,Jeneponto
2022,50.59,Jeneponto
2023,48.32,Jeneponto
2024,43.9,Jeneponto
2018,86.54,Jepara
2019,83.47,Jepara
2020,91.14,Jepara
2021,95.22,Jepara
2022,89.08,Jepara
2023,86.75,Jepara
2024,80.84,Jepara
2018,120.19,Jombang
2019,116.44,Jombang
2020,125.94,Jombang
2021,127.3,Jombang
2022,115.48,Jombang
2023,117.36,Jombang
2024,110.57,Jombang
2018,9.66,Kaimana
2019,9.63,Kaimana
2020,9.52,Kaimana
2021,10.31,Kaimana
2022,10.11,Kaimana
2023,9.9,Kaimana
2024,10.06,Kaimana
2018,69.32,Kampar
2019,66.81,Kampar
2020,65.3,Kampar
2021,68.74,Kampar
2022,63.55,Kampar
2023,63.84,Kampar
2024,63.74,Kampar
2018,18.52,Kapuas
2019,18.23,Kapuas
2020,18.17,Kapuas
2021,19.45,Kapuas
2022,20.18,Kapuas
2023,19.19,Kapuas
2024,19.47,Kapuas
2018,24.76,Kapuas Hulu
2019,25.22,Kapuas Hulu
2020,23.93,Kapuas Hulu
2021,24.03,Kapuas Hulu
2022,23.43,Kapuas Hulu
2023,22.59,Kapuas Hulu
2024,20.77,Kapuas Hulu
2018,26.02,Karang Asem
2019,25.99,Karang Asem
2020,24.69,Karang Asem
2021,28.52,Karang Asem
2022,29.45,Karang Asem
2023,27.83,Karang Asem
2024,27.76,Karang Asem
2018,87.79,Karanganyar
2019,84.46,Karanganyar
2020,91.72,Karanganyar
2021,95.41,Karanganyar
2022,88.56,Karanganyar
2023,88.64,Karanganyar
2024,87.37,Karanganyar
2018,187.96,Karawang
2019,173.66,Karawang
2020,195.41,Karawang
2021,210.78,Karawang
2022,199.91,Karawang
2023,187.23,Karawang
2024,187.77,Karawang
2018,15.93,Karimun
2019,15.36,Karimun
2020,15.99,Karimun
2021,16.28,Karimun
